--2016-05-25 03:20:20--  http://10.30.50.93:8000/
Connecting to 10.30.50.93:8000... connected.
HTTP request sent, awaiting response... 200 OK
Length: 13193358 (13M) [text/html]
Saving to: ‘index.html.6’

     0K .......... .......... .......... .......... ..........  0%  908K 14s
    50K .......... .......... .......... .......... ..........  0% 1.43M 11s
   100K .......... .......... .......... .......... ..........  1% 1.12M 11s
   150K .......... .......... .......... .......... ..........  1% 1.02M 11s
   200K .......... .......... .......... .......... ..........  1% 1.22M 11s
   250K .......... .......... .......... .......... ..........  2% 1.13M 11s
   300K .......... .......... .......... .......... ..........  2%  923K 11s
   350K .......... .......... .......... .......... ..........  3% 1.54M 11s
   400K .......... .......... .......... .......... ..........  3%  974K 11s
   450K .......... .......... .......... .......... ..........  3% 1.31M 11s
   500K .......... .......... .......... .......... ..........  4% 1.16M 11s
   550K .......... .......... .......... .......... ..........  4% 1.15M 11s
   600K .......... .......... .......... .......... ..........  5% 1.17M 11s
   650K .......... .......... .......... .......... ..........  5%  899K 11s
   700K .......... .......... .......... .......... ..........  5% 1.62M 11s
   750K .......... .......... .......... .......... ..........  6%  976K 11s
   800K .......... .......... .......... .......... ..........  6% 1.30M 10s
   850K .......... .......... .......... .......... ..........  6% 1.07M 10s
   900K .......... .......... .......... .......... ..........  7% 1.15M 10s
   950K .......... .......... .......... .......... ..........  7% 1.00M 10s
  1000K .......... .......... .......... .......... ..........  8% 1.19M 10s
  1050K .......... .......... .......... .......... ..........  8% 1.09M 10s
  1100K .......... .......... .......... .......... ..........  8%  978K 10s
  1150K .......... .......... .......... .......... ..........  9%  922K 10s
  1200K .......... .......... .......... .......... ..........  9%  872K 10s
  1250K .......... .......... .......... .......... .......... 10%  937K 11s
  1300K .......... .......... .......... .......... .......... 10% 1.05M 10s
  1350K .......... .......... .......... .......... .......... 10% 1.29M 10s
  1400K .......... .......... .......... .......... .......... 11% 1.15M 10s
  1450K .......... .......... .......... .......... .......... 11% 1001K 10s
  1500K .......... .......... .......... .......... .......... 12% 1.13M 10s
  1550K .......... .......... .......... .......... .......... 12% 1.17M 10s
  1600K .......... .......... .......... .......... .......... 12% 1.01M 10s
  1650K .......... .......... .......... .......... .......... 13% 1.26M 10s
  1700K .......... .......... .......... .......... .......... 13% 1.11M 10s
  1750K .......... .......... .......... .......... .......... 13% 1.07M 10s
  1800K .......... .......... .......... .......... .......... 14% 1.10M 10s
  1850K .......... .......... .......... .......... .......... 14%  203K 11s
  1900K .......... .......... .......... .......... .......... 15%  873K 11s
  1950K .......... .......... .......... .......... .......... 15%  971K 11s
  2000K .......... .......... .......... .......... .......... 15% 1.03M 11s
  2050K .......... .......... .......... .......... .......... 16%  968K 11s
  2100K .......... .......... .......... .......... .......... 16%  751K 11s
  2150K .......... .......... .......... .......... .......... 17% 1.02M 11s
  2200K .......... .......... .......... .......... .......... 17% 1.02M 11s
  2250K .......... .......... .......... .......... .......... 17% 1.17M 11s
  2300K .......... .......... .......... .......... .......... 18%  938K 11s
  2350K .......... .......... .......... .......... .......... 18% 1.38M 11s
  2400K .......... .......... .......... .......... .......... 19% 1.12M 10s
  2450K .......... .......... .......... .......... .......... 19%  864K 10s
  2500K .......... .......... .......... .......... .......... 19% 1.27M 10s
  2550K .......... .......... .......... .......... .......... 20% 1.23M 10s
  2600K .......... .......... .......... .......... .......... 20%  963K 10s
  2650K .......... .......... .......... .......... .......... 20%  196K 11s
  2700K .......... .......... .......... .......... .......... 21% 1.15M 11s
  2750K .......... .......... .......... .......... .......... 21%  972K 11s
  2800K .......... .......... .......... .......... .......... 22% 1.12M 11s
  2850K .......... .......... .......... .......... .......... 22% 1.15M 11s
  2900K .......... .......... .......... .......... .......... 22% 1.02M 11s
  2950K .......... .......... .......... .......... .......... 23% 1.18M 10s
  3000K .......... .......... .......... .......... .......... 23% 1.06M 10s
  3050K .......... .......... .......... .......... .......... 24% 1.12M 10s
  3100K .......... .......... .......... .......... .......... 24% 1.16M 10s
  3150K .......... .......... .......... .......... .......... 24% 1.07M 10s
  3200K .......... .......... .......... .......... .......... 25% 1.15M 10s
  3250K .......... .......... .......... .......... .......... 25% 1.14M 10s
  3300K .......... .......... .......... .......... .......... 26% 1.13M 10s
  3350K .......... .......... .......... .......... .......... 26%  978K 10s
  3400K .......... .......... .......... .......... .......... 26% 1.14M 10s
  3450K .......... .......... .......... .......... .......... 27%  831K 10s
  3500K .......... .......... .......... .......... .......... 27%  923K 10s
  3550K .......... .......... .......... .......... .......... 27% 1.09M 10s
  3600K .......... .......... .......... .......... .......... 28%  963K 10s
  3650K .......... .......... .......... .......... .......... 28%  849K 10s
  3700K .......... .......... .......... .......... .......... 29%  848K 9s
  3750K .......... .......... .......... .......... .......... 29% 1.00M 9s
  3800K .......... .......... .......... .......... .......... 29% 1020K 9s
  3850K .......... .......... .......... .......... .......... 30% 1.01M 9s
